"Item_Title","Component_Title","Config_Title","Enrollment_Status","Program_Type","Program_Modality","Additional_COA_Components","COA_Component_Cost_Type","COA_Item_Applicability","Cost_Value","Aid_Year"
"Resource Fee","STANDARD","GROUND_GRADUATE_2024-2025_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_GRADUATE_2024-2025_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_GRADUATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","BUDGET","FIXED","0","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","BUDGET","FIXED","0","2024-2025"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","BUDGET","FIXED","0","2024-2025"
"Books","STANDARD","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","FIXED","0","2024-2025"
"Resource Fee","STANDARD","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","FIXED","0","2024-2025"
"Tuition","STANDARD","GROUND_GRADUATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_GRADUATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","0","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","0","2024-2025"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","0","2024-2025"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","0","2024-2025"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","0","2024-2025"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2024-2025"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2024-2025_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2024-2025_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","BUDGET","FIXED","0","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","BUDGET","FIXED","0","2024-2025"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","BUDGET","FIXED","0","2024-2025"
"Books","STANDARD","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","FIXED","0","2024-2025"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","FIXED","0","2024-2025"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2024-2025_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_BACHELORS_2024-2025_FULL_TIME","FULL_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_BACHELORS_2024-2025_HALF_TIME","HALF_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_BACHELORS_2024-2025_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","BUDGET","FIXED","0","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","BUDGET","FIXED","0","2024-2025"
"Transportation Costs","BUDGET","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","BUDGET","FIXED","0","2024-2025"
"Books","STANDARD","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","STANDARD","FIXED","0","2024-2025"
"Resource Fee","STANDARD","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","STANDARD","FIXED","0","2024-2025"
"Tuition","STANDARD","ONLINE_BACHELORS_2024-2025_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
"Food and Housing On","STANDARD","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","coa/CostValue/2025/HousingStatusOn.groovy","2024-2025"
"Resource Fee","STANDARD","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","STANDARD","FIXED","100","2024-2025"
"Tuition","STANDARD","ONLINE_BACHELORS_2024-2025_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Tuition.groovy","2024-2025"
"Food and Housing Off","BUDGET","ONLINE_CERTIFICATE_GRADUATE_2024-2025_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","ONLINE","","BUDGET","FIXED","coa/CostValue/2025/HousingStatusOff.groovy","2024-2025"
"Personal Miscellaneous","BUDGET","ONLINE_CERTIFICATE_GRADUATE_2024-2025_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","ONLINE","","BUDGET","FIXED","650","2024-2025"
"Transportation Costs","BUDGET","ONLINE_CERTIFICATE_GRADUATE_2024-2025_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","ONLINE","","BUDGET","FIXED","150","2024-2025"
"Books","STANDARD","ONLINE_CERTIFICATE_GRADUATE_2024-2025_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","ONLINE","","STANDARD","PER_COURSE","coa/CostValue/2023/Books.groovy","2024-2025"
